"id";"cpuPercent";"cpuFreq";"ramPercent";"ramBytes";"discoPercent";"discoBytes";"downloadMbps";"uploadMbps"
33;62.5;2201.0;66.0;11329196032.0;54.0;134170918912.0;373.85;27.91
34;91.7;2201.0;66.0;11329015808.0;54.0;134170918912.0;373.85;27.91
35;100.0;2201.0;66.0;11329019904.0;54.0;134170918912.0;373.85;27.91
36;100.0;2201.0;66.0;11328675840.0;54.0;134170918912.0;373.85;27.91
37;100.0;2201.0;66.0;11328577536.0;54.0;134170918912.0;373.85;27.91
38;100.0;2201.0;66.0;11328581632.0;54.0;134170918912.0;373.85;27.91
39;100.0;2201.0;66.0;11328143360.0;54.0;134170918912.0;373.85;27.91
40;87.5;2201.0;66.0;11328065536.0;54.0;134170918912.0;373.85;27.91
41;83.3;2201.0;66.0;11327709184.0;54.0;134170918912.0;373.85;27.91
42;76.9;2201.0;66.0;11326799872.0;54.0;134170918912.0;373.85;27.91
43;33.3;2201.0;66.0;11326623744.0;54.0;134170918912.0;373.85;27.91
44;87.5;2201.0;66.0;11325689856.0;54.0;134170918912.0;373.85;27.91
45;37.5;2201.0;66.0;11325034496.0;54.0;134170918912.0;373.85;27.91
46;62.5;2201.0;66.0;11324178432.0;54.0;134170918912.0;373.86;27.91
47;83.3;2201.0;66.0;11323609088.0;54.0;134170918912.0;373.86;27.91
48;91.7;2201.0;66.0;11322277888.0;54.0;134170918912.0;373.86;27.91
49;50.0;2201.0;66.0;11321450496.0;54.0;134170918912.0;373.86;27.91
50;87.5;2201.0;66.0;11320274944.0;54.0;134170918912.0;373.86;27.91
51;62.5;2201.0;66.0;11319959552.0;54.0;134170918912.0;373.86;27.91
52;75.0;2201.0;66.0;11319640064.0;54.0;134170918912.0;373.86;27.91
53;100.0;2201.0;66.0;11317493760.0;54.0;134170918912.0;373.86;27.91
54;75.0;2201.0;66.0;11316715520.0;54.0;134170918912.0;373.86;27.91
55;83.3;2201.0;66.0;11316568064.0;54.0;134170918912.0;373.86;27.91
56;62.5;2201.0;66.0;11316113408.0;54.0;134170918912.0;373.86;27.91
57;100.0;2201.0;66.0;11327967232.0;54.0;134170918912.0;373.86;27.91
58;41.7;2201.0;66.0;11327967232.0;54.0;134170918912.0;373.87;27.91
59;75.0;2201.0;66.0;11327598592.0;54.0;134170918912.0;373.87;27.91
60;100.0;2201.0;66.0;11327598592.0;54.0;134170918912.0;373.87;27.91
61;100.0;2201.0;66.0;11327610880.0;54.0;134170918912.0;373.87;27.91
62;100.0;2201.0;66.0;11327283200.0;54.0;134170918912.0;373.87;27.91
63;100.0;2201.0;66.0;11327283200.0;54.0;134170918912.0;373.87;27.91
64;100.0;2201.0;66.0;11326550016.0;54.0;134170918912.0;373.87;27.91
65;50.0;2201.0;66.0;11326038016.0;54.0;134170918912.0;373.87;27.91
66;62.5;2201.0;66.0;11326038016.0;54.0;134170918912.0;373.87;27.91
67;91.7;2201.0;66.0;11326038016.0;54.0;134170918912.0;373.87;27.91
68;87.5;2201.0;66.0;11324018688.0;54.0;134170918912.0;373.87;27.91
69;75.0;2201.0;66.0;11324018688.0;54.0;134170918912.0;373.87;27.91
70;100.0;2201.0;66.0;11324026880.0;54.0;134170918912.0;373.88;27.91
71;83.3;2201.0;66.0;11323858944.0;54.0;134170918912.0;373.88;27.91
72;62.5;2201.0;66.0;11323682816.0;54.0;134170918912.0;373.88;27.91
73;62.5;2201.0;66.0;11323666432.0;54.0;134170918912.0;373.88;27.91
74;66.7;2201.0;66.0;11323666432.0;54.0;134170918912.0;373.88;27.91
75;87.5;2201.0;66.0;11323486208.0;54.0;134170918912.0;373.88;27.91
76;100.0;2201.0;66.0;11323486208.0;54.0;134170918912.0;373.88;27.91
77;100.0;2201.0;66.0;11323539456.0;54.0;134170918912.0;373.88;27.92
78;66.7;2201.0;66.0;11322769408.0;54.0;134170918912.0;373.88;27.92
79;83.3;2201.0;66.0;11322433536.0;54.0;134170918912.0;373.88;27.92
80;75.0;2201.0;66.0;11321778176.0;54.0;134170918912.0;373.88;27.92
81;83.3;2201.0;66.0;11321778176.0;54.0;134170927104.0;373.88;27.92
82;41.7;2201.0;66.0;11321667584.0;54.0;134170927104.0;373.88;27.92
83;75.0;2201.0;66.0;11327303680.0;54.0;134170927104.0;373.88;27.92
84;58.3;2201.0;66.0;11326619648.0;54.0;134170927104.0;373.88;27.92
85;62.5;2201.0;66.0;11325804544.0;54.0;134170927104.0;373.88;27.92
86;75.0;2201.0;66.0;11325349888.0;54.0;134170927104.0;373.88;27.92
87;84.6;2201.0;66.0;11325349888.0;54.0;134170927104.0;373.88;27.92
88;91.7;2201.0;66.0;11325218816.0;54.0;134170927104.0;373.88;27.92
89;37.5;2201.0;66.0;11324858368.0;54.0;134170927104.0;373.88;27.92
90;37.5;2201.0;66.0;11324862464.0;54.0;134170927104.0;373.88;27.92
91;37.5;2201.0;66.0;11324219392.0;54.0;134170927104.0;373.88;27.92
92;41.7;2201.0;66.0;11323768832.0;54.0;134170927104.0;373.88;27.92
93;58.3;2201.0;66.0;11323768832.0;54.0;134170927104.0;373.88;27.92
94;87.5;2201.0;66.0;11321212928.0;54.0;134170927104.0;373.88;27.92
95;87.5;2201.0;66.0;11320242176.0;54.0;134170927104.0;373.88;27.92
96;58.3;2201.0;66.0;11320242176.0;54.0;134170927104.0;373.88;27.92
97;87.5;2201.0;66.0;11320242176.0;54.0;134170927104.0;373.88;27.92
98;87.5;2201.0;66.0;11319414784.0;54.0;134170927104.0;373.88;27.93
99;75.0;2201.0;66.0;11319054336.0;54.0;134170927104.0;373.88;27.93
100;82.4;2201.0;66.0;11319062528.0;54.0;134170927104.0;373.89;27.93
101;50.0;2201.0;66.0;11319586816.0;54.0;134170927104.0;373.89;27.93
102;100.0;2201.0;66.0;11319922688.0;54.0;134170927104.0;373.89;27.93
103;50.0;2201.0;66.0;11319951360.0;54.0;134170927104.0;373.89;27.93
104;41.7;2201.0;66.0;11323580416.0;54.0;134170927104.0;373.9;27.93
105;50.0;2201.0;66.0;11326222336.0;54.0;134170927104.0;373.9;27.93
106;75.0;2201.0;66.0;11329536000.0;54.0;134170927104.0;373.91;27.94
107;100.0;2201.0;66.0;11327270912.0;54.0;134170927104.0;373.91;27.94
108;44.4;2201.0;66.0;11327111168.0;54.0;134170927104.0;373.92;27.95
109;91.7;2201.0;66.0;11333373952.0;54.0;134170927104.0;373.92;27.96
110;50.0;2201.0;66.0;11332841472.0;54.0;134170927104.0;373.92;27.96
111;75.0;2201.0;66.0;11332841472.0;54.0;134170927104.0;373.92;27.96
112;76.9;2201.0;66.0;11332841472.0;54.0;134170927104.0;373.92;27.97
113;58.3;2201.0;66.0;11332845568.0;54.0;134170927104.0;373.92;27.97
114;100.0;2201.0;66.0;11332853760.0;54.0;134170927104.0;373.92;27.97
115;50.0;2201.0;66.0;11332853760.0;54.0;134170927104.0;373.92;27.97
116;75.0;2201.0;66.0;11332849664.0;54.0;134170927104.0;373.92;27.97
117;50.0;2201.0;66.0;11332833280.0;54.0;134170935296.0;373.92;27.97
118;50.0;2201.0;66.0;11332833280.0;54.0;134170935296.0;373.92;27.97
119;94.1;2201.0;66.0;11332177920.0;54.0;134170935296.0;373.92;27.97
120;87.5;2201.0;66.0;11332243456.0;54.0;134170935296.0;373.92;27.97
121;100.0;2201.0;66.0;11332243456.0;54.0;134170935296.0;373.92;27.97
122;75.0;2201.0;66.0;11331907584.0;54.0;134170935296.0;373.92;27.97
123;33.3;2201.0;66.0;11331796992.0;54.0;134170935296.0;373.92;27.97
124;62.5;2201.0;66.0;11331796992.0;54.0;134170935296.0;373.92;27.97
125;75.0;2201.0;66.0;11331448832.0;54.0;134170935296.0;373.92;27.98
126;100.0;2201.0;66.0;11330289664.0;54.0;134170935296.0;373.93;27.98
127;25.0;2201.0;66.0;11329970176.0;54.0;134170935296.0;373.93;27.99
128;100.0;2201.0;66.0;11329679360.0;54.0;134170935296.0;373.93;27.99
129;62.5;2201.0;66.0;11329679360.0;54.0;134170935296.0;373.93;27.99
130;37.5;2201.0;66.0;11329679360.0;54.0;134170935296.0;373.93;27.99
131;50.0;2201.0;66.0;11329413120.0;54.0;134170935296.0;373.93;27.99
132;66.7;2201.0;66.0;11328823296.0;54.0;134170935296.0;373.93;27.99
133;77.8;2201.0;66.0;11328778240.0;54.0;134170935296.0;373.93;27.99
134;44.4;2201.0;66.0;11328778240.0;54.0;134170935296.0;373.93;27.99
135;66.7;2201.0;66.0;11333533696.0;54.0;134170935296.0;373.93;27.99
136;62.5;2201.0;66.0;11332988928.0;54.0;134170935296.0;373.93;27.99
137;88.9;2201.0;66.0;11332857856.0;54.0;134170935296.0;373.93;27.99
138;58.3;2201.0;66.0;11331850240.0;54.0;134170935296.0;373.93;27.99
139;75.0;2201.0;66.0;11331751936.0;54.0;134170935296.0;373.93;27.99
140;87.5;2201.0;66.0;11331100672.0;54.0;134170935296.0;373.93;27.99
141;100.0;2201.0;66.0;11330371584.0;54.0;134170935296.0;373.93;27.99
142;58.3;2201.0;66.0;11330580480.0;54.0;134170935296.0;373.94;27.99
143;75.0;2201.0;66.0;11330482176.0;54.0;134170935296.0;373.94;27.99
144;75.0;2201.0;66.0;11328933888.0;54.0;134170935296.0;373.94;27.99
145;75.0;2201.0;66.0;11328921600.0;54.0;134170935296.0;373.94;27.99
146;58.3;2201.0;66.0;11328913408.0;54.0;134170935296.0;373.95;27.99
147;92.3;2201.0;66.0;11328913408.0;54.0;134170935296.0;373.95;27.99
148;62.5;2201.0;66.0;11328880640.0;54.0;134170935296.0;373.95;27.99
149;100.0;2201.0;66.0;11328733184.0;54.0;134170935296.0;373.95;27.99
150;37.5;2201.0;66.0;11328368640.0;54.0;134170935296.0;373.95;27.99
151;75.0;2201.0;66.0;11327549440.0;54.0;134170935296.0;373.95;27.99
152;50.0;2201.0;66.0;11327537152.0;54.0;134170935296.0;373.95;28.0
153;90.9;2201.0;66.0;11319894016.0;54.0;134170935296.0;373.95;28.0
154;50.0;2201.0;66.0;11319861248.0;54.0;134170935296.0;373.95;28.0
155;62.5;2201.0;66.0;11319717888.0;54.0;134170935296.0;373.95;28.0
156;58.3;2201.0;66.0;11319009280.0;54.0;134170935296.0;373.96;28.0
157;75.0;2201.0;66.0;11318984704.0;54.0;134170935296.0;373.96;28.0
158;75.0;2201.0;66.0;11316502528.0;54.0;134170935296.0;373.96;28.0
159;62.5;2201.0;66.0;11316465664.0;54.0;134170935296.0;373.96;28.0
160;87.5;2201.0;66.0;11329773568.0;54.0;134170935296.0;373.96;28.0
161;75.0;2201.0;66.0;11329769472.0;54.0;134170935296.0;373.96;28.0
162;37.5;2201.0;66.0;11329581056.0;54.0;134170935296.0;373.96;28.0
163;41.7;2201.0;66.0;11328073728.0;54.0;134170935296.0;373.96;28.0
164;91.7;2201.0;66.0;11327725568.0;54.0;134170935296.0;373.96;28.0
165;75.0;2201.0;66.0;11327078400.0;54.0;134170935296.0;373.96;28.0
166;100.0;2201.0;66.0;11326308352.0;54.0;134170935296.0;373.96;28.0
167;100.0;2201.0;66.0;11326296064.0;54.0;134170935296.0;373.96;28.0
