"id";"cpuPercent";"cpuFreq";"ramPercent";"ramBytes";"discoPercent";"discoBytes";"downloadMbps";"uploadMbps";"dataHora"
655;17.6;2304.0;83.0;6991716352.0;41.0;211107516416.0;724.79;33.65;"2025-04-09 12:54:17"
656;4.2;2304.0;83.0;6991716352.0;41.0;211107516416.0;724.8;33.65;"2025-04-09 12:54:17"
657;5.0;2304.0;83.0;6991704064.0;41.0;211107516416.0;724.8;33.65;"2025-04-09 12:54:17"
658;5.0;2304.0;83.0;6991708160.0;41.0;211107516416.0;724.8;33.65;"2025-04-09 12:54:17"
659;6.2;2304.0;83.0;6991708160.0;41.0;211107516416.0;724.8;33.65;"2025-04-09 12:54:17"
660;6.2;2304.0;83.0;6991708160.0;41.0;211107516416.0;724.8;33.65;"2025-04-09 12:54:17"
661;7.7;2304.0;83.0;6989983744.0;41.0;211107516416.0;724.8;33.65;"2025-04-09 12:54:17"
662;5.6;2304.0;83.0;6989983744.0;41.0;211107516416.0;724.8;33.65;"2025-04-09 12:54:17"
663;5.0;2304.0;83.0;6989963264.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
664;17.6;2304.0;83.0;6989963264.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
665;6.2;2304.0;83.0;6989971456.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
666;4.3;2304.0;83.0;6989971456.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
667;36.0;2304.0;83.0;6989848576.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
668;9.4;2304.0;83.0;6982594560.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
669;17.6;2304.0;83.0;6982598656.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
670;5.3;2304.0;83.0;6982590464.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
671;3.8;2304.0;83.0;6982594560.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
672;5.6;2304.0;83.0;6982582272.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
673;17.6;2304.0;83.0;6982336512.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
674;6.2;2304.0;83.0;6982340608.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
675;6.2;2304.0;83.0;6982340608.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
676;16.7;2304.0;83.0;6982340608.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
677;4.3;2304.0;83.0;6982201344.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
678;5.9;2304.0;83.0;6982197248.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
679;6.2;2304.0;83.0;6982193152.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
680;14.3;2304.0;83.0;6981148672.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
681;13.0;2304.0;83.0;6981156864.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:17"
682;4.8;2304.0;83.0;6968352768.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:18"
683;0.0;2304.0;83.0;6968299520.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:18"
684;6.2;2304.0;83.0;6968299520.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:18"
685;6.2;2304.0;83.0;6968299520.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:18"
686;17.9;2304.0;83.0;6968283136.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:18"
687;14.3;2304.0;83.0;6968283136.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:18"
688;17.6;2304.0;83.0;6968283136.0;41.0;211107520512.0;724.8;33.65;"2025-04-09 12:54:18"
689;6.2;2304.0;83.0;6968254464.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
690;6.2;2304.0;83.0;6968254464.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
691;12.0;2304.0;83.0;6968246272.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
692;12.5;2304.0;83.0;6968197120.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
693;12.5;2304.0;83.0;6968197120.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
694;6.2;2304.0;83.0;6968197120.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
695;8.0;2304.0;83.0;6968197120.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
696;13.0;2304.0;83.0;6968197120.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
697;6.2;2304.0;83.0;6968139776.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
698;17.6;2304.0;83.0;6968139776.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
699;6.2;2304.0;83.0;6968143872.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
700;9.4;2304.0;83.0;6968147968.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
701;17.6;2304.0;83.0;6967951360.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
702;17.6;2304.0;83.0;6967955456.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
703;41.2;2304.0;83.0;6967959552.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
704;6.2;2304.0;83.0;6967959552.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
705;12.9;2304.0;83.0;6967939072.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
706;5.9;2304.0;83.0;6967926784.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
707;30.8;2304.0;83.0;6978551808.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
708;5.3;2304.0;83.0;6978551808.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
709;83.3;2304.0;83.0;6971572224.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
710;9.5;2304.0;83.0;6968619008.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
711;17.6;2304.0;83.0;6968623104.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
712;12.5;2304.0;83.0;6968619008.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
713;13.9;2304.0;83.0;6968606720.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
714;38.5;2304.0;83.0;6968614912.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
715;6.7;2304.0;83.0;6968619008.0;41.0;211107586048.0;724.8;33.65;"2025-04-09 12:54:18"
716;5.0;2304.0;83.0;6968619008.0;41.0;211107586048.0;724.81;33.65;"2025-04-09 12:54:18"
717;12.9;2304.0;83.0;6968610816.0;41.0;211107586048.0;724.81;33.65;"2025-04-09 12:54:18"
718;21.4;2304.0;83.0;6968340480.0;41.0;211107586048.0;724.81;33.65;"2025-04-09 12:54:18"
719;28.6;2304.0;83.0;6968340480.0;41.0;211107586048.0;724.81;33.65;"2025-04-09 12:54:18"
720;19.0;2304.0;83.0;6968344576.0;41.0;211107586048.0;724.81;33.65;"2025-04-09 12:54:18"
721;7.7;2304.0;83.0;6968348672.0;41.0;211107586048.0;724.81;33.65;"2025-04-09 12:54:18"
722;9.1;2304.0;83.0;6968348672.0;41.0;211107586048.0;724.82;33.65;"2025-04-09 12:54:18"
723;20.0;2304.0;83.0;6968356864.0;41.0;211107586048.0;724.82;33.65;"2025-04-09 12:54:18"
724;6.2;2304.0;83.0;6968356864.0;41.0;211107586048.0;724.83;33.65;"2025-04-09 12:54:18"
725;5.0;2304.0;83.0;6968352768.0;41.0;211107586048.0;724.83;33.65;"2025-04-09 12:54:18"
726;12.5;2304.0;83.0;6968336384.0;41.0;211107586048.0;724.83;33.65;"2025-04-09 12:54:18"
727;8.3;2304.0;83.0;6968332288.0;41.0;211107586048.0;724.83;33.65;"2025-04-09 12:54:18"
728;10.0;2304.0;83.0;6966636544.0;41.0;211107586048.0;724.83;33.65;"2025-04-09 12:54:18"
729;7.7;2304.0;83.0;6966636544.0;41.0;211107586048.0;724.83;33.65;"2025-04-09 12:54:18"
730;11.1;2304.0;83.0;6966845440.0;41.0;211107586048.0;724.83;33.65;"2025-04-09 12:54:18"
731;22.7;2304.0;83.0;6966845440.0;41.0;211107586048.0;724.83;33.65;"2025-04-09 12:54:18"
732;31.2;2304.0;83.0;6966849536.0;41.0;211107586048.0;724.84;33.65;"2025-04-09 12:54:18"
733;23.8;2304.0;83.0;6966837248.0;41.0;211107586048.0;724.84;33.65;"2025-04-09 12:54:18"
734;6.2;2304.0;83.0;6966972416.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
735;20.7;2304.0;83.0;6967111680.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
736;6.7;2304.0;83.0;6967218176.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
